ABC-book	букварь
coal-scuttle	ведерко для угля
comity	вежливость
courtliness	вежливость
courteous	вежливый
courtly	вежливый
cyclist	велосипедист
crown	венец
corolla	венчик
credence	вера
coil	веревка
cordage	веревки
cult	вероисповедание
credibility	вероятность
credible	вероятный
composing-stick	верстатка
conviviality	веселость
demean	вести себя (тж. to demean oneself) How did my son demean himself in the presence of the king? унижать
day-long	весь день
cow-leech	ветеринар
conversazione	вечер
corporeality	вещественность
correlation	взаимосвязь
daffy	взбалмошный
cracksman	взломщик
conspicuous	видный
cut-away	визитка
curate	викарий
culpability	виновность
cup-bearer	виночерпий
dangling	висящий
cowlick	вихор
comprise	включать
cunt	влагалище
damp-proof	влагонепроницаемый
dairyman	владелец или работник молочной фермы
demesne	владение (недвижимостью)
dank	влажный
container	вместилище
concubinage	внебрачное сожительство
decorum	внешнее приличие
coign	внешний угол (здания)
considerate	внимательный к другим
courtyard	внутренний двор
concavity	вогнутая поверхность
concavo-convex	вогнуто-выпуклый (о линзе)
concave	вогнутый
cutwater	водорез
come-back	возвращение (к власти , популярности и т. п.)
cor	возглас удивления
cultivation	возделывание (земли)
dash-pot	воздушный или масляный буфер
compensate	вознаграждать
compensative	вознаграждающий
compensation	вознаграждение
coal-heaver	возчик угля
conscription	воинская повинность
commotion	волнение (моря)
cymometer	волномер
cow-hide	воловья кожа
cotton-gin	волокноотделитель
daphne	волчеягодник
conjurer	волшебник
conjuror	волшебник
coo	воркование
corbie	ворон
crow	ворона
corvine	вороний
crow's-nest	воронье гнездо
crow-quill	воронье перо
collar	воротник
cystitis	воспаление мочевого пузыря
debar	воспрещать
delectable	восхитительный
delicious	восхитительный
delightful	восхитительный
delightsome	восхитительный
delve	впадина
cock-sure	вполне уверенный
cocainize	впрыскивать кокаин
damage	вред
deleterious	вредный
damnific	вредоносный
cock-crow	время
connate	врожденный
connatural	врожденный
coal-cutter	врубовая машина
commitment	вручение
consuming	всепоглощающий (об интересе и т. п.)
deconstruct	вскрывать противоречия
debacle	вскрытие реки
countercharge	встречное обвинение
cross-current	встречное течение
cross-wind	встречный
counter-claim	встречный иск
dead-wind	встречный лобовой ветер
counterblast	встречный порыв ветра
counterblow	встречный удар
co-pilot	второй пилот
decoction	вываривание
deactivate	вывести из строя
corollary	вывод
deduce	выводить (заключение , следствие , формулу) (from) What do you deduce from the voting figures? I deduce from the small crowd that the speaker is not very popular.
deferent	выводящий
coming-out	вывоз (товаров)
convalescence	выздоравливание
convalesce	выздоравливать (from) Mother enjoyed convalescing from her operation in the small hospital by the sea.
convalescent	выздоравливающий
defiance	вызов (на бой , спор)
curtain-call	вызов актера (на аплодисменты)
defy	вызывать
constipate	вызывать запор
defiant	вызывающий
creepy	вызывающий мурашки
damning	вызывающий осуждение
deflective	вызывающий отклонение
deflation	выкачивание
crash-landing	вынужденная аварийная посадка
constrained	вынужденный
convexo-concave	выпукло-вогнутый
convexity	выпуклость
convex	выпуклый
complain	выражать недовольство чем-л. (of)
countenance	выражение лица
deep-drawn	вырвавшийся из глубины (о вздохе)
degenerative	вырождающийся
degeneracy	вырождение
degeneration	вырождение
deforest	вырубить леса
debarkation	высадка (людей)
debark	высаживать(ся)
debus	высаживать(ся)
countertenor	высокий тенор
decampment	выступление из лагеря
debouchment	выход из ущелья
debouch	выходить из ущелья на открытую местность (о реке)
deletion	вычеркивание
delete	вычеркивать
comb-out	вычесывание
computation	вычисление
computational	вычислительный
computing	вычислительный
deduction	вычитание
deduct	вычитать
demode	вышедший из моды
crochet	вышивание тамбуром
crossstitch	вышивка крестиками
convolvulus	вьюнок
crystal-gazing	гадание с зеркалом или посредством 'магического кристалла'
daw	галка
cravat	галстук
day-blindness	гемералопия
consul-general	генеральный консул
dahlia	георгин
crane's-bill	герань
command-in-chief	главное командование
crock	глиняный кувшин/горшок
deepness	глубина и пр. {см. deep 1}
deep-drawing	глубокая вытяжка
deep-draft	глубокая осадка судна
deep	глубокий
deeply	глубоко
deep-laid	глубоко заложенный
deep-felt	глубоко прочувствованный
deep-seated	глубоко сидящий
deep-rooted	глубоко укоренившийся
deep-sea	глубоководный
deaf	глухой
deadlight	глухой иллюминатор
deaf-and-dumb	глухонемой
deaf-mute	глухонемой
deafness	глухота
dapple-bay	гнедой в яблоках конь
decay	гниение
cow-heel	говяжий студень (из ножек)
cutthroat	головорез
copper-butterfly	голубянка
crook-back	горбатый
crook-backed	горбатый
combustion	горение
combustibility	горючесть
combustible	горючий
commonwealth	государство
corrugated	гофрированный
cross-hatch	гравировать/штриховать перекрестными штрихами
cut-glass	граненое стекло
confines	границы
decanter	графин
countess	графиня
county	графство (административная единица в Англии)
crest	гребешок (петуха)
ctenoid	гребневидный
day-dream	грезы
crouton	гренки в супе
crap	гречиха
crash	грохот
cribble	грохот
denim	грубая хлопчатобумажная ткань
curmudgeon	грубиян
crass	грубый
curmudgeonly	грубый
coarse	грубый (о пище , одежде и т. п.)
consignment	груз
consignor	грузоотправитель
consignee	грузополучатель
decade	группа из десяти
corn-floor	гумно
cutworm	гусеница озимой совки
cram	давка
daguerreotype	дагерротип
dactylic	дактилический
dactylography	дактилоскопия
dactyl	дактиль
dalmatic	далматик (облачение католических священнослужителей)
colour-blindness	дальтонизм
daltonism	дальтонизм
daman	даман
damask	дамаст
dam	дамба
dammar	даммара
dancing-hall	дансинг
confer	даровать
costless	даровой
date	дата
dative	дательный
dated	датированный
couple	два
come-and-go	движение взад и вперед
colon	двоеточие ободочная кишка
court	двор
cur	дворняжка (особ. злая , кусающаяся)
cousin	двоюродный брат
concavo-concave	двояковогнутый (о линзе)
convexo-convex	двояковыпуклый
coupe	двухместная карета
debit	дебет
debut	дебют
debutant	дебютант
debutante	дебютантка
damsel	девица
demoiselle	девушка
colleen	девушка (тж. colleen bawn)
degas	дегазировать
degenerate	дегенерат
deductive	дедуктивный
deism	деизм
deist	деист
deed	действие
deca-	дека-
decadent	декадент
decalitre	декалитр
decametre	декаметр
dean	декан (титул старшего после епископа духовного лица в католической и англиканской церкви)
decanal	деканский
deanery	деканство
deckle	декель
declamatory	декламационный
declamation	декламация
declarative	декларативный
declassed	деклассированный
decohere	декогерировать
decoder	декодер
decolonization	деколонизация
decollete	декольтированный
decompensation	декомпенсация
decorative	декоративный
decretal	декрет
decretive	декретный
coarsen	делать грубым
dehumanize	делать грубым
defeature	делать неузнаваемым
conventionalize	делать условным
conventioneer	делегат
delegate	делегат
delegacy	делегация
delegation	делегация
delicatessen	деликатесы
delict	деликт
compartmentalize	делить на отсеки
delta	дельта (греческая буква)
deltoid	дельтовидный
delphinium	дельфиниум
demagogue	демагог
demagogic	демагогический
demagogy	демагогия
date-line	демаркационная линия суточного времени
demarche	демарш
demilitarize	демилитаризировать
demiurge	демиург
demobilization	демобилизация
demobee	демобилизованный
demobilize	демобилизовать
demographic	демографический
demography	демография
democrat	демократ
democratize	демократизировать
democratic	демократический
democracy	демократия
demon	демон
demonic	демонический
demonstrator	демонстрант
demonstration	демонстрирование наглядными примерами
demonstrate	демонстрировать
demoralization	деморализация
demoralize	деморализовать
denarius	денарий (древнеримская серебряная монета
denationalize	денационализировать
denazification	денацификация
denazify	денацифицировать
dandy	денди
dandyism	дендизм
dendrology	дендрология
currency	денежное обращение
contango-day	день
day	день
day-time	день
denier	денье (единица веса мотка шелковой , нейлоновой и т. п. нитки , характеризующая ее тонкость)
crappy	дерьмовый
denary	десятеричный
decathlon	десятиборье
decahedral	десятигранный
decennary	десятилетие
decennial	десятилетний
decaphyllous	десятилистный
decapod	десятиногий рак
decasyllabic	десятисложный
decachord	десятиструнная арфа (древнегреческая)
decagon	десятиугольник
decagonal	десятиугольный
decangular	десятиугольный
decimal	десятичный
decalogue	десять заповедей
collate	детально сличать
cops-and-robbers	детективный
cub	детеныш
copulative	детородный
cot	детская кроватка
creche	детские ясли
deficit	дефицит
deflector	дефлектор
deflationary	дефляционный
crippling	деформация
decemvir	децемвир
decentralize	децентрализовать
deci-	деци (обозначает десятую часть , особ. в метрической системе)
decibel	децибел
decilitre	децилитр
decimetre	дециметр
dee	ди (название буквы D)
deaconess	диакониса
commando	диверсионно-десантный отряд
culver	дикий голубь
crab	дикое яблоко
debating-society	дискуссионный клуб
debate	дискуссия
day-shift	дневная смена
day-book	дневник
daylight	дневной свет
debonair	добродушный
conscientious	добросовестный
commission	доверенность
confidence	доверие
credit	доверие
credent	доверчивый
confide	доверять
declivitous	довольно крутой (о спуске)
contented	довольный
conjecture	догадка
contractual	договорный
demonstrable	доказуемый
debt	долг
debenture	долговое обязательство
crane-fly	долгоножка
daddylonglegs	долгоножка (насекомое)
debtor	должник
consulship	должность консула
dale	долина
dene	долина прибрежные пески
cookie	домашнее печенье
delation	донос
delator	доносчик
complement	дополнение тж.
connotation	дополнительное
codicil	дополнительное распоряжение
complementary	дополнительный
costliness	дорогая цена
dear-bought	дорого доставшийся
costly	дорогой
dear	дорогой
dearie	дорогуша
corpulence	дородность
corpulent	дородный
deliver	доставлять
culminate	достигать высшей точки/степени
dauphin	дофин
daughterly	дочерний
daughter	дочь
dendriform	древовидный
dendritic	древовидный
decrepitude	дряхлость
decrepit	дряхлый
cork-tree	дуб пробковый
cudgel	дубина
datura	дурман
currish	дурно воспитанный
colander	дуршлаг
confessor	духовник
deacon	дьякон
consentient	единодушный
consanguineous	единокровный
corrosive	едкий
cocksfoot	ежа сборная
daily	ежедневный
cycling	езда на велосипеде
dace	елец (рыба)
crosier	епископский посох
codswallop	ерунда
defilade	естественное укрытие
covetous	жадный
covet	жаждать
complainant	жалобщик
compassionate	жалостливый
compassion	жалость
cruller	жареный пирожок
deep-fry	жарить во фритюре
cud	жвачка
crampon	железный захват
cutesy	жеманный
demi-rep	женщина сомнительного поведения
coltish	жеребячий
cully	жертва обмана
coleopterous	жесткокрылый (о насекомых)
cruel	жестокий
cruelly	жестоко
cruelty	жестокость
critter	живое существо
cottager	живущий в хижине
denizen	житель
dalesman	житель долин (на севере Англии)
crane	журавль
delusion	заблуждение
concern	забота
completive	завершающий
come-off	завершение
completion	завершение
consummation	завершение (работы)
curling	завивание
craped	завитой
crimped	завитой
conquest	завоевание
conqueror	завоеватель
conquer	завоевывать
conundrum	загадка
cryptic	загадочный
conspirator	заговорщик accomplice
conspiratorial	заговорщический
cote	загон
corral	загон (для скота)
cross-border	заграничный
contamination	загрязнение
defilement	загрязнение
contaminate	загрязнять
defile	загрязнять
contaminant	загрязняющее вещество
coaxing	задабривание
customer	заказчик
conclude	заканчивать(ся)
conjuration	заклинание
conclusive	заключительный
corked	закупоренный
corkage	закупоривание и откупоривание бутылок
congestive	закупорившийся
deceleration	замедление
deferred	замедленный
commutation	замена
commute	заменять (for) Regular train travellers may commute a single monthly payment for daily tickets.
comment	замечание
crackajack	замечательный
congelation	замораживание
congeal	замораживать
crocked	замотанный
curtain	занавеска
conjure	заниматься магией
dally	заниматься пустяками
concerned	занятый чем-л.
deadfall	западня
cuff-link	запонка для манжет
constipation	запор
complicated	запутанный
comma	запятая
contagion	зараза
contagious	заразный
day-spring	заря
council-board	заседание совета
condign	заслуженный (о наказании)
damnable	заслуживающий осуждения
culpable	заслуживающий порицания
demeritorious	заслуживающий порицания
compel	заставлять
coy	застенчивый
darken	затемнять
crux	затруднение
cumber	затруднение
cobwebby	затянутый паутиной
conceiving	зачатие
darn	заштопанное место
defender	защитник
cover-point	защитник (в крикете)
crash-helmet	защитный шлем летчика
declaration	заявление
court-house	здание суда
corn-rent	земельная аренда
countersink	зенковка
corn	зерно
denominator	знаменатель
cognizance	знание
connoisseur	знаток
cognoscente	знаток (искусства , литературы и т. п.)
considerable	значительный
cognizant	знающий
craw	зоб (у птицы)
dead-spot	зона молчания
dawdle	зря тратить время
cog	зубец
cog-wheel	зубчатое колесо
cogged	зубчатый
deep-mouthed	зычный
crept	и от creep
dealt	и от deal
crambo	игра в подыскание рифм
co-star	играть главную роль (в фильме или пьесе) в паре с кем-л.
cricketer	игрок в крикет
cueist	игрок на бильярде
dangle-dolly	игрушка
cretinous	идиотский
constituency	избиратели
crinkle	изгиб
cost-plus	издержки плюс фиксированная прибыль (метод назначения цены с учетом издержек и определенного процента прибыли)
curability	излечимость
curable	излечимый
denature	изменять естественные свойства
craniometry	измерение черепа
cross-bones	изображение двух скрещенных костей
contriver	изобретатель
contrivance	изобретательность
crooked	изогнутый
daze	изумление
dazedly	изумленно
connote	иметь дополнительное
countrified	имеющий деревенский вид
conterminal	имеющий общую границу
colicky	имеющий характер колик
cymoscope	индикатор колебаний
communicatory	информационный
decriminalize	исключить (деяние и т. п.) из числа уголовно наказуемых
contortion	искривление
contort	искривлять
daedal	искусный
confessional	исповедальня
co-religionist	исповедующий ту же веру
corner-man	исполняющий комическую роль в негритянском ансамбле
computerisation	использование счетных машин
corrupt	испорченный
corrigible	исправимый
correctional	исправительный
corrective	исправительный
correction	исправление
corrector	исправляющий
dejecta	испражнения
crawly	испытывающий ощущение мурашек по телу
compunctious	испытывающий угрызения совести
conscience-smitten	испытывающий угрызения совести
demandant	истец
dactyliography	история искусства гравирования (на драгоценных камнях и кольцах)
computable	исчислимый
countable	исчислимый
courgette	кабачок
coaster	каботажное судно
coasting	каботажное судоходство
coastwise	каботажный
dame	кавалерственная дама (титул жены баронета или женщины , имеющей орден Британской Империи)
decimate	казнить каждого десятого
decimation	казнь
cocoa-shells	какавелла
cockatoo	какаду (попугай)
cocoa	какао (порошок и напиток)
cripple	калека
cook-galley	камбуз
colliery	каменноугольная копь
coal-tar	каменноугольная смола
coal-measures	каменноугольные пласты
coal-field	каменноугольный бассейн
coal-gas	каменноугольный газ
colophony	канифоль
cowling	капот двигателя
cole	капуста (огородная)
cuttle-fish	каракатица
crucian	карась
coach	карета
coachhouse	каретный сарай
croak	карканье
croaker	каркающая птица
cornice	карниз
cope-stone	карнизный камень
crowd-puller	кассовое мероприятие
cowrie	каури (раковина , заменяющая деньги в некоторых частях Азии и Африки)
cowry	каури (раковина , заменяющая деньги в некоторых частях Азии и Африки)
coffee-house	кафе
coffee-room	кафе
dalle	кафель
cradling	качание в люльке
dandle	качать на руках или на коленях (ребенка)
cough	кашель
deck-cabin	каюта на палубе
coffer-dam	кессон для подводных работ
cybernation	кибернетизация
cybernated	кибернетизированный
cyborg	киборг (персонаж научной фантастики)
cornel	кизил настоящий
cymbal	кимвал
cymograph	кимограф
dagger	кинжал
cypress	кипарис
cuirass	кираса
cuirassier	кирасир
defamation	клевета
denigration	клевета
colour-wash	клеевая краска
crossbill	клест (птица)
cuneiform	клинообразный
dag	клок сбившейся шерсти большой пистолет
cuspid	клык
cranberry	клюква
collar-bone	ключица
coagulation	коагуляция
coadjutor	коадъютор
coaxal	коаксальный
coalite	коалит
coalition	коалиция
cobalt	кобальт
cobra	кобра
cold-hammer	ковать вхолодную
cow-boy	ковбой
cow-puncher	ковбой
coherer	когерер
cohort	когорта
coda	кода
codeine	кодеин
code	кодекс
codification	кодификация
coriaceous	кожистый
cutaneous	кожный
coachbox	козлы
coca	кока (_ю-ам. кустарник и его листья)
cocaine	кокаин
coca-cola	кока-кола
cockade	кокарда
coquette	кокетка
coquettish	кокетливый
coquet	кокетничать
coquetry	кокетство
cockney	кокни
cocoon	кокон
coconut	кокос
coco-palm	кокосовая пальма
coconut-tree	кокосовая пальма
coir	кокосовые волокна
coke	кокс
coking	коксование
coke-oven	коксовая печь
cocktail	коктейль
cola	кола (тропическое дерево , семена которого употребляются как тонизирующее средство)
demur	колебание
convulsion	колебание (почвы)
cranked	коленчатый
crankshaft	коленчатый вал
colic	колика
colitis	колит
collaborationist	коллаборационист
collagen	коллаген
collage	коллаж
collectivity	коллектив
collectivization	коллективизация
collectivize	коллективизировать
colectivism	коллективизм
collective	коллективный
collectable	коллекционируемый
collie	колли
collodion	коллодий
colloid	коллоид
colloidal	коллоидный
colloquium	коллоквиум
colonialism	колониализм
colonial	колониальный
colonialist	колонизатор
colonizer	колонизатор
colonization	колонизация
colonize	колонизировать
colonist	колонист
colony	колония
column	колонна
colonnade	колоннада
columnar	колоннообразный
colossal	колоссальный
columbarium	колумбарий
cradle	колыбель
cole-rape	кольраби
coma	кома
command	команда
commander	командир
commanding	командующий
comatose	коматозный
combine	комбайн
combinatorial	комбинаторный
combinative	комбинационный
combined	комбинированный
comedienne	комедийная актриса
comedy	комедия
curfew	комендантский час
comet	комета
comics	комиксы
coaming	комингс
commissar	комиссар
commissary	комиссар
commissariat	комиссариат
commissionaire	комиссионер (при гостинице)
commision	комиссия
committee	комитет
comic	комический
comicality	комичность
commentary	комментарий
commentation	комментирование
commentate	комментировать (в радиоили телепередачах)
commodore	коммодор
communard	коммунар
communism	коммунизм socialism
communicator	коммуникатор
communist	коммунист
communistic	коммунистический
commode	комод
compacted	компактный
compass	компас (тж. mariner's compass)
compendium	компендиум
countervail	компенсировать
competent	компетентный
compile	компилировать
compilation	компиляция
complex	комплекс
complementation	комплементация
compliment	комплимент
composer	композитор
compositional	композиционный
component	компонент
compost	компост
compote	компот
comprador	компрадор (туземец на службе европ. фирмы , являющийся посредником между ней и туземными покупателями)
compress	компресс
compressor	компрессор
compromise	компромисс
computer	компьютер
computerize	компьютеризировать
conveyer	конвейер
convection	конвекция
converter	конвертер
conga	конга
congeniality	конгениальность
conglomerate	конгломерат
conglomeration	конгломерация
congress	конгресс
condenser	конденсатор
condensed	конденсированный
confectioner	кондитер
confectionary	кондитерская
confectionery	кондитерская
conditioner	кондиционер
condominium	кондоминиум
condor	кондор
conductor	кондуктор (трамвая , автобуса в Англии)
conductress	кондукторша
conical	конический
conquistador	конкистадор
concordat	конкордат
concretize	конкретизировать
concretionary	конкреционный
competitor	конкурент
contestant	конкурент
conoid	коноид
conservative	консервативный
conservatism	консерватизм
conservatoire	консерватория
concilium	консилиум
consistence	консистенция
consistory	консистория
conker	конские каштаны с продетой бечевкой (детская игра)
consols	консоли
consolidation	консолидация
consolidated	консолидированный
consomme	консоме (разновидность супов)
consortium	консорциум
conspiracy	конспирация
constable	констебль
constitutionalism	конституционная система правления
constitutional	конституционный
constitution	конституция
constrictor	констриктор
constructionism	конструктивизм
constructive	конструктивный
constructor	конструктор
consul	консул
consular	консульский
consulate	консульство
consultant	консультант
consultation	консультация
consultancy	консультирование
consulting	консультирующий
concierge	консьерж
contactor	контактор
context	контекст
contextual	контекстуальный
continental	континентальный
continuum	континуум
counting-house	контора
contraband	контрабанда
contrabandist	контрабандист
contrabass	контрабас
contract	контракт
contralto	контральто
counterpoint	контрапункт
contrapuntist	контрапунктист
contrapuntal	контрапунктический
counter-attack	контратака
counterplot	контрзаговор
countermarch	контрмарш
counter-measure	контрмера
countermine	контрмина
counter-offensive	контрнаступление
controller	контролер
countermark	контрольное/пробирное клеймо
countershaft	контрпривод
countermand	контрприказ
counter-espionage	контрразведка
counter-intelligence	контрразведка
counter-revolutionary	контрреволюционер
counter-revolution	контрреволюция
counterfort	контрфорс
counterscarp	контрэскарп
contuse	контузить
contour	контур
cone	конус
confederacy	конфедерация
confederation	конфедерация
compere	конферансье
conferva	конферва
conference	конференция
comfit	конфета
confetti	конфетти
configuration	конфигурация
confidential	конфиденциальный
confirmee	конфирмант
confiscation	конфискация
confiscate	конфисковать
confiture	конфитюр
conflict	конфликт
conformist	конформист
confrontational	конфронтационный
confrontation	конфронтация
conchoid	конхоида
concentrate	концентрат
concentration	концентрация
concentre	концентрировать(ся)
concentrically	концентрически
concentric	концентрический
concentricity	концентричность
conceptualize	концептуализировать
concert	концерт
concerto	концерт (музыкальная форма)
concertina	концертино (шестигранная гармоника)
concessionaire	концессионер
colophon	концовка
conjunctiva	конъюнктива (слизистая оболочка глаза)
conjunctivitis	конъюнктивит
cognac	коньяк
co-optation	кооптация
co-opt	кооптировать куда-л. (onto) Since the lawyer has offered his help without payment , can we co-opt him onto the committee?
co-ordination	координация
copaiba	копайский бальзам
copal	копал (современная или ископаемая смола деревьев)
copeck	копейка
copier	копировальное устройство
counterpart	копия
copra	копра
copulation	копуляция
coccyx	копчик
coffin-bone	копытная кость
cortex	кора
coal-burner	корабль
coral	коралл
coralline	коралловый мох
coral-island	коралловый остров
coral-reef	коралловый риф
corvette	корвет
corgi	корги (порода декоративных собак)
corps-de-ballet	кордебалет
cordelier	кордельер (монах-францисканец)
cordite	кордит (бездымный порох)
cordovan	кордовская цветная дубленая козлиная/конская кожа (тж. cordovan leather)
cordon	кордон
coreopsis	кореопсис
counterfoil	корешок чека
creel	корзина для рыбы
coriander	кориандр
corridor	коридор
currant	коринка
coryphaeus	корифей
coryphee	корифейка (в балете)
crust	корка (хлеба)
cortical	корковый
cratch	кормушка (для кормления животных на открытом воздухе)
cornet	корнет
crop-eared	корноухий
corn-flakes	корнфлекс
cow-pox	коровья оспа
coronal	корона
coronet	корона (пэров)
coronary	коронарный
coronation	коронация
coroner	коронер
collet	коронка
crown-wheel	коронная шестерня
crowned	коронованный
coronate	короновать
crake	коростель
corn-crake	коростель (птица)
cutty	коротенькая глиняная трубка
coatee	короткая куртка
corporate	корпоративный
corporatism	корпоратизм
corporation	корпорация
corpuscular	корпускулярный
dele	корректурный знак выброски
correlate	коррелят
correspondent	корреспондент
corrosion	коррозия
corsage	корсаж
corset	корсет
cortege	кортеж
cortisone	кортизон
cosecant	косеканс
cropper	косец
cosine	косинус
cosmetology	косметика
cosmetic	косметический
cosmetologist	косметолог
cosmic	космический
cosmogony	космогония
cosmography	космография
cosmodrome	космодром
cosmology	космология
cosmonaut	космонавт
cosmonautics	космонавтика
cosmopolitan	космополит
cosmopolitanism	космополитизм
cosmos	космос
cock-eyed	косоглазый
cross-eyed	косой
crutch	костыль обыкн.
costumier	костюмер
cock-eye	косящий глаз
cotangent	котангенс
cottage	коттедж
cothurnus	котурн
coffee	кофе
decaf	кофе без кофеина
coffee-grounds	кофейная гуща
coffee-grinder	кофейная мельница
coffee-mill	кофейная мельница
coffee-pot	кофейник
coffee-bean	кофейный боб
coffee-table	кофейный столик
cochin	кохинхинка (порода кур)
cochin-china	кохинхинка (порода кур)
corn-cob	кочерыжка кукурузного початка
cochineal	кошениль (краска)
coefficient	коэффициент
crabber	краболов
crassitude	крайняя тупость
colourant	краситель
damson-coloured	красновато-синий (цвета сливы)
day-lily	красоднев
colourful	красочный
colouring	красящее вещество (тж. colouring matter)
colorific	красящий
crater	кратер (вулкана)
compendious	краткий
concise	краткий
curt	краткий
conciseness	краткость
cross-cut	кратчайший путь
creditor	кредитор
creditworthy	кредитоспособный
creed	кредо
cruiser	крейсер
cruiser-carrier	крейсер-авианосец
cruise	крейсерство
cracking	крекинг
crematorium	крематорий
cremation	кремация
cremate	кремировать
cream-coloured	кремового цвета
crimplene	кремплен (вид ткани)
creosote	креозот
crape	креп
crepe	креп (ткань)
crapy	креповый
cress	кресс-салат
cross	крест
cummer	крестная мать
crusade	крестовый поход
crusader	крестоносец
crosswise	крестообразно
cruciate	крестообразный
cruciform	крестообразный
cruciferous	крестоцветный
cretin	кретин
cretinism	кретинизм
cretonne	кретон
crescendo	крещендо
curve	кривая (линия)
curvature	кривизна
curvilinear	криволинейный
cry	крик
crier	крикун
criminalist	криминалист
criminology	криминология
cryolite	криолит
cryology	криология
crypt	крипта
cryptogram	криптограмма
crystal	кристалл
crystallization	кристаллизация
crystallize	кристаллизовать(ся)
crystallite	кристаллит
crystallography	кристаллография
crystalloid	кристаллоид
criterion	критерий
critic	критик
criticism	критика
critique	критика
criticize	критиковать
critical	критический
crying	кричащий
croquet	крокет
croquette	крокеты
crocodile	крокодил
crocodilian	крокодиловый
crocus	крокус
cony	кролик
crown-glass	кронглас (сорт стекла)
curlew	кроншнеп (птица)
cross-word	кроссворд (тж. cross-word puzzle)
crumbly	крошащийся
crumble	крошиться
croppy	круглоголовый
day-and-night	круглосуточный
coterie	кружок (литературный , артистический и т. п.)
cruzeiro	крузейро (денежная единица Бразилии)
croup	круп (болезнь) зад , круп (лошади)
coarse-grained	крупнозернистый
croupier	крупье
dash-board	крыло (экипажа)
coal-flap	крышка находящегося на тротуаре люка угольного подвала
crook	крюк
crotchet	крючок
cube	куб
cubage	кубатура
cubism	кубизм
cubiform	кубовидный
cuboid	кубоид
curly	кудрявый
cock-a-doodle-doo	кукареку
corn-cockle	куколь обыкновенный
cockle	куколь посевной
corn-flour	кукурузная
corn-pone	кукурузная лепешка
cuckoo	кукушка
coolie	кули
cookery	кулинария
culinary	кулинарный
coulisse	кулиса
coulomb	кулон
culvert	кульверт
culture	культура
cultural	культурный
cultured	культурный
cupola	купол
coupon	купон
cuprite	куприт
curare	кураре
curatorial	кураторский
curvet	курбет
cocky-leeky	куриный бульон
course	курс
curriculum	курс обучения
courtesan	куртизанка
crimpy	курчавый
courier	курьер
coop	курятник
couscous	кускус (африканское блюдо из крупы , баранины и овощей)
cuticle	кутикула
cook	кухарка
cook-room	кухня
cuisine	кухня
cook-table	кухонный стол
cumulo-nimbus	кучево-дождевые облака
cumulus	кучевые облака
coachman	кучер
day-bed	кушетка
curry	кэрри (приправа из куркумового корня , чеснока и разных пряностей)
cuvette	кюветка
curette	кюретка
curie	кюри (единица радиоактивности)
curium	кюрий
cudbear	лакмусовый ягель (краситель)
dainty	лакомство
delectus	латинская или греческая хрестоматия
corselet	латы
cob-swan	лебедь-самец
delaine	легкая плательная ткань
cushy	легкий и хорошо оплачиваемый
dab	легкий удар
dearborn	легкий четырехколесный экипаж
damageable	легко повреждаемый или портящийся
credulity	легковерие
credulous	легковерный
come-at-able	легкодоступный
decumbent	лежащий
cure	лекарство
dell	лесистая долина
cushat	лесной голубь
curing	лечение
decasualize	ликвидировать или сократить текучесть рабочей силы
curacao	ликер кюрасо
cock-a-hoop	ликующий
crocket	лиственный орнамент
deciduous	листопадный (о деревьях)
composition	литературное/музыкальное произведение
dashing	лихой
dedicatee	лицо
defaulter	лицо
co-signatory	лицо/государство
dartre	лишай
deflower	лишать девственности
denaturalize	лишать природных свойств
demonetize	лишать стандартной стоимости (монету)
deaden	лишать(ся) жизненной энергии
defloration	лишение девственности
defoliate	лишенный листьев
deft	ловкий
consequential	логически вытекающий
den	логово
dawdler	лодырь
coomb	ложбина
cochleare	ложка (мера лекарства
curl	локон
cubital	локтевой
crow-bar	лом
daisy-cutter	лошадь
coyote	луговой волк
conniving	лукавый
coot	лысуха (птица)
darling	любимый
cosset	любимый ягненок
dabbler	любитель
curious	любопытный
curiosity	любопытство
cringle	люверс
cottonocracy	магнаты хлопковой торговли и хлопчатобумажной промышленности
cockchafer	майский жук
creese	малайский кинжал
coffee-cup	маленькая (кофейная) чашка
craven	малодушный
cycle-car	малолитражный автомобиль с мотоциклетным двигателем
credential	мандат
cuff	манжета
craze	мания
decoy-duck	манок для заманивания диких уток
cock-loft	мансарда
daisy	маргаритка
death-hunter	мародер
creamery	маслобойня
congeries	масса
craftsman	мастер
conversationalist	мастер поговорить
crackjack	мастер своего дела
craftsmanship	мастерство
deck-hand	матрос
coltsfoot	мать-и-мачеха
corker	машина для закупоривания бутылок
crumple	маять(ся)
cupriferous	медистый
copperplate	медная гравировальная доска
copper-smith	медник
cupreous	медный
copper	медь
cuprum	медь
coal-dust	мелкий уголь
cretaceous	меловой
cursedly	мерзко
deadlock	мертвая точка
dead-house	мертвецкая
dead	мертвый
conditioning	меры к улучшению физического состояния
